City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
276,Helena,US,2021-06-04 00:54:34,46.5927,-112.0361,84.31,40,75,8.01
277,Biltine,TD,2021-06-04 00:55:50,14.5333,20.9167,87.12,35,99,7.83
278,Natal,BR,2021-06-04 00:52:10,-5.795,-35.2094,75.85,83,20,7.72
279,Kamaishi,JP,2021-06-04 00:55:50,39.2667,141.8833,65.35,96,100,25.72
280,Show Low,US,2021-06-04 00:55:51,34.2542,-110.0298,84.31,21,1,13.8
281,Tiksi,RU,2021-06-04 00:55:51,71.6872,128.8694,31.48,95,100,6.35
282,Sao Miguel Do Araguaia,BR,2021-06-04 00:51:58,-13.275,-50.1628,75.27,42,12,3.65
283,Sao Gabriel Da Cachoeira,BR,2021-06-04 00:53:13,-0.1303,-67.0892,73.11,98,100,1.79
284,Cuitareo,MX,2021-06-04 00:55:51,19.6167,-100.6,60.6,77,100,2.35
285,Ancud,CL,2021-06-04 00:55:52,-41.8697,-73.8203,50.23,85,100,13.42
286,Miri,MY,2021-06-04 00:55:52,4.4148,114.0089,84.34,84,40,3.98
287,Luwuk,ID,2021-06-04 00:55:52,-0.9516,122.7875,82.85,77,100,6.38
288,Te Anau,NZ,2021-06-04 00:55:53,-45.4167,167.7167,49.24,91,100,4.99
289,Saldanha,ZA,2021-06-04 00:55:53,-33.0117,17.9442,48.25,57,100,6.11
290,Luena,AO,2021-06-04 00:52:11,-11.7833,19.9167,50.77,63,30,5.17
291,Gebre Guracha,ET,2021-06-04 00:55:53,9.8,38.4,53.29,66,100,0.89
292,Iqaluit,CA,2021-06-04 00:55:54,63.7506,-68.5145,29.93,92,90,3.0
