City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
321,Omboue,GA,-1.5746,9.2618,76.17,94,84,4.83,broken clouds
322,Iqaluit,CA,63.7506,-68.5145,37.13,74,75,5.01,broken clouds
323,Vila Velha,BR,-20.3297,-40.2925,75.15,85,0,1.99,clear sky
324,Bambanglipuro,ID,-7.95,110.2833,75.67,91,16,2.39,few clouds
325,Kavieng,PG,-2.5744,150.7967,82.29,75,63,6.2,light rain
326,Port Blair,IN,11.6667,92.75,83.88,76,100,12.15,moderate rain
327,Steamboat Springs,US,40.485,-106.8317,87.73,20,1,6.91,clear sky
328,Belyy Yar,RU,53.6039,91.3903,48.09,87,0,4.7,clear sky
329,Saint-Pierre,RE,-21.3393,55.4781,73.08,88,75,25.32,heavy intensity rain
330,Anadyr,RU,64.75,177.4833,43.3,65,75,11.01,broken clouds
331,Great Falls,US,47.5002,-111.3008,64.67,25,1,8.01,clear sky
332,Kayasula,RU,44.325,45.0,59.65,91,100,10.87,moderate rain
333,Biltine,TD,14.5333,20.9167,89.65,17,80,3.74,broken clouds
334,Balabac,PH,7.9868,117.0645,82.53,80,100,8.12,overcast clouds
335,Taoudenni,ML,22.6783,-3.9836,103.03,8,89,3.96,overcast clouds
336,Abalak,RU,58.1286,68.5944,55.67,76,81,4.68,broken clouds
337,Vardo,NO,70.3705,31.1107,37.6,74,6,3.65,clear sky
338,Gigmoto,PH,13.7796,124.39,80.82,81,100,2.35,light rain
339,Healdsburg,US,38.6105,-122.8692,96.01,23,1,1.01,clear sky
340,Mosquera,CO,4.7059,-74.2302,60.89,88,75,5.75,broken clouds
341,Qui Nhon,VN,13.7667,109.2333,80.67,76,100,6.15,overcast clouds
342,Shelburne,CA,44.0787,-80.2041,88.29,69,11,9.98,few clouds
343,Peniche,PT,39.3558,-9.3811,62.08,84,0,17.13,clear sky
344,Angoram,PG,-4.0625,144.0661,73.35,100,100,1.28,overcast clouds
345,Vanimo,PG,-2.6741,141.3028,78.01,89,100,5.7,very heavy rain
