City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
620,Pitimbu,BR,77.59,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
621,Biak,ID,75.29,broken clouds,-0.9131,122.8766,Penginapan Kim
627,Tabou,CI,78.26,light rain,4.423,-7.3528,hotêl doufoulougou
629,Puerto Quijarro,BO,84.09,few clouds,-17.7833,-57.7667,Hotel palance
631,Auki,SB,82.18,clear sky,-8.7676,160.7034,Auki Motel
633,Mianyang,CN,75.16,light rain,31.4593,104.7542,如家快捷酒店
636,Maragogi,BR,75.88,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
637,Saubara,BR,78.76,few clouds,-12.7375,-38.7686,Kanto do Sol
638,Komsomolskiy,UZ,84.92,broken clouds,40.4272,71.7189,Ikathouse
642,Nizwa,OM,84.54,clear sky,22.9333,57.5333,Orient Apartments
643,Morro Agudo,BR,78.82,scattered clouds,-20.7314,-48.0578,Hotel Morro Agudo
644,Ipojuca,BR,78.71,scattered clouds,-8.3989,-35.0639,Temporada Condomínio Reserva Ipojuca
646,Martapura,ID,77.09,few clouds,-3.4167,114.85,Montana Hotel Syariah
648,Ca Mau,VN,79.43,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
649,Tucupita,VE,77.52,scattered clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
652,Namatanai,PG,81.05,light rain,-3.6667,152.4333,Seagulls Inn Namatani
654,Kamakwie,SL,79.25,light rain,9.5,-12.2333, 
655,Sabha,LY,83.5,broken clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
656,Riachao,BR,78.75,overcast clouds,-7.3619,-46.6172,Pousada Nordestina
657,Tarakan,ID,76.5,few clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
658,Havelock,US,86.23,few clouds,34.8791,-76.9013,Sherwood Motel
667,Dutse,NG,85.48,scattered clouds,11.7594,9.3392,Central Mosque Galamawa
668,Najran,SA,83.05,clear sky,17.4924,44.1277,محمد هادي ال فطيح
669,Yarmouth,US,89.65,clear sky,41.7057,-70.2286,Blue Rock Resort
670,Buchanan,LR,76.96,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
